Timestamp,Open,High,Low,Close
2014-01-01,,,,1205
2014-01-02,,,,1225
2014-01-03,,,,1235
2014-01-06,,,,1246
2014-01-07,,,,1228
2014-01-08,,,,1221
2014-01-09,,,,1226
2014-01-10,,,,1244
2014-01-13,,,,1248
2014-01-14,,,,1252
2014-01-15,,,,1236
2014-01-16,,,,1242
2014-01-17,,,,1250
2014-01-20,,,,1256
2014-01-21,,,,1238
2014-01-22,,,,1241
2014-01-23,,,,1263
2014-01-24,,,,1267
2014-01-27,,,,1261
2014-01-28,,,,1251
2014-01-29,,,,1264
2014-01-30,,,,1243
2014-01-31,,,,1251
2014-02-03,,,,1262
2014-02-04,,,,1250
2014-02-05,,,,1255
2014-02-06,,,,1257
2014-02-07,,,,1259
2014-02-10,,,,1277
2014-02-11,,,,1282
2014-02-12,,,,1290
2014-02-13,,,,1296
2014-02-14,,,,1320
2014-02-17,,,,1328
2014-02-18,,,,1321
2014-02-19,,,,1321
2014-02-20,,,,1316
2014-02-21,,,,1323
2014-02-24,,,,1335
2014-02-25,,,,1339
2014-02-26,,,,1332
2014-02-27,,,,1332
2014-02-28,,,,1327
2014-03-03,,,,1350
2014-03-04,,,,1335
2014-03-05,,,,1337
2014-03-06,,,,1345
2014-03-07,,,,1335
2014-03-10,,,,1344
2014-03-11,,,,1346
2014-03-12,,,,1366
2014-03-13,,,,1369
2014-03-14,,,,1385
2014-03-17,,,,1379
2014-03-18,,,,1356
2014-03-19,,,,1338
2014-03-20,,,,1327
2014-03-21,,,,1336
2014-03-24,,,,1311
2014-03-25,,,,1314
2014-03-26,,,,1304
2014-03-27,,,,1296
2014-03-28,,,,1295
2014-03-31,,,,1292
2014-04-01,,,,1284
2014-04-02,,,,1292
2014-04-03,,,,1284
2014-04-04,,,,1297
2014-04-07,,,,1299
2014-04-08,,,,1310
2014-04-09,,,,1302
2014-04-10,,,,1321
2014-04-11,,,,1318
2014-04-14,,,,1326
2014-04-15,,,,1298
2014-04-16,,,,1302
2014-04-17,,,,1299
2014-04-18,,,,1299
2014-04-21,,,,1299
2014-04-22,,,,1287
2014-04-23,,,,1285
2014-04-24,,,,1292
2014-04-25,,,,1301
2014-04-28,,,,1299
2014-04-29,,,,1298
2014-04-30,,,,1289
2014-05-01,,,,1279
2014-05-02,,,,1281
2014-05-05,,,,1281
2014-05-06,,,,1306
